454	111	30	62	772	435	380	115	28	45	22
618	147	47	104	643	399	298	207	46	74	35
691	158	49	116	583	377	258	255	62	96	46
1004	129	47	98	397	307	150	466	120	183	103
1009	129	47	96	395	306	149	468	121	185	104
1048	120	46	91	377	300	142	495	126	194	109
1133	99	35	82	345	292	124	547	143	215	118
1207	87	33	72	321	274	114	582	160	229	128
1249	83	28	64	310	272	112	597	166	234	134
13.47	12	9	1	986	490	499	2	1	0	0
174.1	39	21	24	940	471	469	20	7	5	4
212.4	47	24	26	920	465	463	32	9	9	5
377.6	89	31	46	827	445	411	83	19	32	17
413.7	100	31	52	805	441	397	93	22	40	19
424.8	107	30	55	793	440	392	98	23	41	21
450.3	108	29	62	779	436	381	111	28	45	21
593.8	141	50	92	662	402	316	195	41	70	31
608.7	145	47	103	650	400	303	202	45	71	34
626.4	141	48	105	641	397	294	215	47	75	37
627.4	141	48	108	640	397	291	216	47	75	37
673.6	139	50	116	606	385	268	251	54	87	44
687.3	154	47	118	588	380	259	254	61	93	46
688.6	157	49	116	585	378	259	254	61	95	46
720.4	152	46	106	563	371	251	281	70	107	53
771.5	153	51	105	523	356	231	318	77	118	68
780.2	153	50	109	517	355	225	324	79	119	69
801.4	147	50	111	507	351	218	339	82	122	73
807.2	148	50	110	504	350	216	341	83	125	73
821.8	147	54	108	493	342	214	353	86	127	76
841.4	147	55	111	481	337	203	364	90	133	79
884.1	140	55	107	459	328	192	393	97	147	82
891.4	142	58	104	454	323	191	396	98	149	85
905.4	145	56	110	444	320	183	403	102	150	87
912.6	139	54	107	441	319	180	412	104	155	89
1003.2	128	47	97	398	307	151	466	120	183	103
1006.4	130	47	98	395	306	150	467	121	183	103
1008.7	130	47	96	395	306	149	467	121	185	104
1009.5	130	46	96	394	306	149	468	122	185	104
1015.6	132	48	95	390	304	147	470	122	188	104
1028.9	128	48	95	387	302	144	477	124	189	106
1029.8	127	49	94	387	301	143	478	124	190	107
1030.2	127	49	94	386	301	143	479	124	190	107
1031.8	126	50	93	385	300	143	481	124	191	107
1031.9	125	50	93	385	300	143	482	124	191	107
1032.6	124	49	93	385	300	143	483	124	191	108
1032.6	125	49	93	385	300	143	482	124	191	108
1034.3	125	48	92	383	300	143	484	125	192	108
1035.9	124	48	92	381	300	143	487	125	192	108
1059.4	109	45	93	377	300	139	506	127	195	109
106.01	30	17	19	960	480	477	9	3	2	3
1068.7	107	42	94	371	300	136	514	130	197	109
1071.5	109	40	96	369	300	134	514	131	197	110
1077.7	107	41	93	366	299	133	519	131	200	111
1079.3	108	42	90	365	297	133	519	131	203	112
1088.9	111	44	90	360	295	132	521	131	204	112
1094.6	108	42	89	358	295	129	526	133	206	114
1095.3	108	43	89	358	294	129	526	133	206	114
1096.4	109	43	89	357	294	129	526	133	206	114
1096.5	109	42	89	357	294	129	526	134	206	114
1099.4	111	42	89	354	294	129	527	134	206	114
1100.1	111	42	89	353	294	129	528	134	206	114
