19.18	999836	5	132	32
8.608	999968	20	16	1
9.447	999913	60	26	6
11.143	999882	45	61	17
11.272	999880	41	67	17
13.309	999863	28	93	21
14.229	999858	24	101	22
14.424	999854	27	102	22
14.506	999853	24	106	22
14.511	999853	23	107	22
14.556	999852	24	107	22
15.454	999844	24	112	25
15.719	999844	21	115	25
17.075	999840	11	125	29
3.9347	999997	3	5	0
5.1334	999993	4	7	1
5.9728	999991	3	10	1
6.6525	999990	3	11	1
8.2614	999979	10	15	1
8.8282	999961	27	16	1
9.0113	999953	34	16	2
9.0321	999950	35	18	2
9.3405	999928	52	22	3
9.4841	999908	65	26	6
9.4947	999906	67	26	6
9.4956	999905	67	27	6
9.6675	999899	67	31	8
9.6992	999899	66	32	8
9.7574	999898	61	35	11
10.0041	999893	62	38	12
10.0133	999892	63	38	12
10.1003	999892	62	39	12
10.1711	999892	61	39	13
10.2063	999892	60	40	13
10.2523	999892	59	41	13
10.3231	999892	58	42	13
10.3669	999892	57	43	13
10.3681	999892	56	44	13
10.4414	999892	55	45	13
10.4656	999891	56	45	13
10.4821	999890	57	45	13
10.5312	999889	58	45	13
10.5483	999889	57	46	13
10.5658	999889	56	47	13
10.5817	999889	55	48	13
10.5923	999889	54	49	13
10.6312	999889	53	50	13
10.6696	999889	52	51	13
10.7078	999889	51	52	13
10.7103	999888	52	52	13
10.7128	999887	53	52	13
10.7138	999887	52	53	13
10.7417	999887	51	54	13
10.8064	999887	50	54	14
10.8245	999887	49	54	15
10.8473	999887	48	55	15
10.8854	999887	47	56	15
10.9155	999887	46	57	15
10.9203	999886	47	57	15
10.9262	999886	46	57	16
10.9345	999886	45	58	16
10.9405	999886	44	59	16
10.9416	999885	45	59	16
10.9752	999884	46	59	16
11.0174	999884	45	59	17
11.0305	999883	46	59	17
11.0714	999883	45	60	17
11.0824	999882	46	60	17
11.1532	999882	44	62	17
11.1765	999882	43	63	17
11.1951	999882	42	64	17
11.2036	999881	43	64	17
11.2155	999881	42	65	17
11.2373	999880	43	65	17
11.2625	999880	42	66	17
11.3295	999880	40	68	17
11.3372	999880	39	69	17
11.3506	999880	38	70	17
11.3581	999880	37	70	18
11.3848	999880	36	71	18
11.4483	999879	37	71	18
11.5048	999879	36	72	18
11.5254	999879	35	72	19
11.5263	999879	34	73	19
11.5772	999878	35	73	19
11.5982	999878	34	74	19
11.6451	999878	33	75	19
11.6531	999878	32	76	19
11.7186	999878	31	77	19
11.7874	999878	30	78	19
11.8082	999878	29	79	19
11.8809	999878	28	80	19
11.8884	999877	29	80	19
11.9146	999876	30	80	19
11.9399	999875	31	80	19
11.9519	999874	32	80	19
12.1175	999874	31	81	19
12.1503	999874	30	81	20
12.1565	999873	31	81	20
12.2362	999872	32	81	20
12.2656	999871	33	81	20
12.3263	999871	32	82	20
12.3292	999871	31	83	20
12.3928	999870	32	83	20
12.4992	999869	33	83	20
12.5481	999868	34	83	20
12.5569	999867	35	83	20
12.5588	999867	34	84	20
12.5785	999867	33	85	20
1.25854	1e+06	2	3	0
12.6122	999867	32	86	20
12.6896	999866	33	86	20
12.7237	999866	32	87	20
12.7241	999866	31	88	20
12.7576	999865	32	88	20
12.8098	999865	31	88	21
12.8397	999865	30	89	21
13.0183	999865	29	90	21
13.0193	999864	30	90	21
13.1026	999864	29	91	21
13.1619	999863	30	91	21
13.2547	999863	29	92	21
13.3299	999862	29	93	21
13.4689	999862	28	94	21
13.5392	999862	27	94	22
13.5825	999862	26	95	22
13.7463	999861	27	95	22
13.7481	999861	26	96	22
13.7496	999861	25	97	22
13.8019	999861	24	98	22
13.8453	999861	23	99	22
13.9641	999860	24	99	22
14.0575	999860	23	100	22
14.1402	999859	24	100	22
14.1534	999858	25	100	22
14.2616	999858	23	102	22
14.3259	999857	24	102	22
14.3837	999856	25	102	22
14.4232	999855	26	102	22
14.4372	999854	26	103	22
14.4553	999853	27	103	22
14.4634	999853	26	104	22
14.4722	999853	25	105	22
14.5991	999852	23	107	23
14.6895	999852	22	108	23
14.7187	999852	21	109	23
14.7471	999852	20	110	23
14.8234	999851	21	110	23
14.8546	999850	22	110	23
14.9168	999850	21	110	24
14.9251	999850	20	110	25
15.1992	999849	21	110	25
15.2306	999849	20	111	25
15.2927	999848	21	111	25
15.3002	999847	22	111	25
15.3148	999846	23	111	25
15.3413	999845	24	111	25
15.3913	999845	23	112	25
15.4605	999844	23	113	25
15.6265	999844	22	114	25
15.8372	999844	20	116	25
15.8977	999844	19	117	25
16.2806	999843	20	117	25
16.2816	999843	19	118	25
16.3659	999842	20	118	25
16.5055	999842	19	119	25
16.6971	999842	18	120	25
16.8083	999842	17	121	25
16.8109	999841	18	121	25
16.8354	999840	19	121	25
16.8479	999840	18	122	25
16.8993	999840	17	123	25
16.9495	999840	16	123	26
16.9535	999840	15	124	26
16.9928	999840	14	124	27
17.0313	999840	13	125	27
17.0359	999840	12	125	28
17.1239	999840	10	125	30
17.3067	999839	11	125	30
17.3324	999839	10	125	31
17.3715	999839	9	126	31
17.5906	999839	8	127	31
17.5987	999839	7	128	31
17.7339	999839	6	129	31
17.9311	999838	7	129	31
18.0463	999837	8	129	31
18.1708	999837	7	130	31
18.2372	999837	6	131	31
18.3332	999837	5	132	31
18.7187	999836	6	132	31
19.6873	999835	6	132	32
19.7001	999834	7	132	32
19.7655	999834	6	133	32
1.99285	999999	3	3	0
20.0466	999834	5	133	33
20.1027	999834	4	134	33
20.7372	999834	3	135	33
20.7623	999834	2	136	33
21.5019	999833	3	136	33
21.7918	999833	2	137	33
