0.00000000e+00 1.00000000e+04 5.00000000e+00 0.00000000e+00 0.00000000e+00
9.12688465e-09 1.00000000e+04 5.00000007e+00 1.82537696e-08 4.56344239e-09
9.12779734e-05 9.99999909e+03 5.00068422e+00 1.82580923e-04 4.56452307e-05
5.64204308e-04 9.99999436e+03 5.00423055e+00 1.12889845e-03 2.82224612e-04
1.03713064e-03 9.99998963e+03 5.00777938e+00 2.07588708e-03 5.18971770e-04
5.76639399e-03 9.99994211e+03 5.04340650e+00 1.15828281e-02 2.89570702e-03
1.34066619e-02 9.99986465e+03 5.10149877e+00 2.70846183e-02 6.77115458e-03
2.10469297e-02 9.99978628e+03 5.16025959e+00 4.27649645e-02 1.06912411e-02
4.15997083e-02 9.99957098e+03 5.32170786e+00 8.58482990e-02 2.14620748e-02
6.21524868e-02 9.99934895e+03 5.48820274e+00 1.30279578e-01 3.25698944e-02
8.92442774e-02 9.99904563e+03 5.71564596e+00 1.90977715e-01 4.77444288e-02
1.16336068e-01 9.99872976e+03 5.95250542e+00 2.54191263e-01 6.35478158e-02
1.58954022e-01 9.99820617e+03 6.34510834e+00 3.58975521e-01 8.97438801e-02
2.01571975e-01 9.99764809e+03 6.76357620e+00 4.70670688e-01 1.17667672e-01
2.44189929e-01 9.99705323e+03 7.20960899e+00 5.89732036e-01 1.47433009e-01
3.04882562e-01 9.99613781e+03 7.89598060e+00 7.72965540e-01 1.93241385e-01
3.65575195e-01 9.99513535e+03 8.64760090e+00 9.73642198e-01 2.43410549e-01
4.26267827e-01 9.99403757e+03 9.47065354e+00 1.19341998e+00 2.98354995e-01
4.86960460e-01 9.99283545e+03 1.03719044e+01 1.43411394e+00 3.58528486e-01
5.47653093e-01 9.99151911e+03 1.13587558e+01 1.69771103e+00 4.24427758e-01
6.08345726e-01 9.99007771e+03 1.24393052e+01 1.98638619e+00 4.96596548e-01
6.69038359e-01 9.98849944e+03 1.36224095e+01 2.30252004e+00 5.75630011e-01
7.29730992e-01 9.98677135e+03 1.49177550e+01 2.64871814e+00 6.62179534e-01
8.23934719e-01 9.98375873e+03 1.71757851e+01 3.25238795e+00 8.13096988e-01
9.18138445e-01 9.98029128e+03 1.97744585e+01 3.94741240e+00 9.86853100e-01
1.01234217e+00 9.97630075e+03 2.27647912e+01 4.74756642e+00 1.18689160e+00
1.10654590e+00 9.97170882e+03 2.62053194e+01 5.66868607e+00 1.41717152e+00
1.20074962e+00 9.96642562e+03 3.01631666e+01 6.72897115e+00 1.68224279e+00
1.29495335e+00 9.96034808e+03 3.47152537e+01 7.94933162e+00 1.98733290e+00
1.38915708e+00 9.95335812e+03 3.99496576e+01 9.35378127e+00 2.33844532e+00
1.48336080e+00 9.94532050e+03 4.59671397e+01 1.09698869e+01 2.74247173e+00
1.57756453e+00 9.93608055e+03 5.28828521e+01 1.28292776e+01 3.20731939e+00
1.67176826e+00 9.92546149e+03 6.08282341e+01 1.49682220e+01 3.74205549e+00
1.76597198e+00 9.91326154e+03 6.99531069e+01 1.74282812e+01 4.35707029e+00
1.86017571e+00 9.89925073e+03 8.04279686e+01 2.02570437e+01 5.06426092e+00
1.95437944e+00 9.88316733e+03 9.24464855e+01 2.35089512e+01 5.87723779e+00
2.04858316e+00 9.86471406e+03 1.06228163e+02 2.72462210e+01 6.81155524e+00
2.14278689e+00 9.84355399e+03 1.22021167e+02 3.15398725e+01 7.88496812e+00
2.23699062e+00 9.81930617e+03 1.40105248e+02 3.64708626e+01 9.11771565e+00
2.33119434e+00 9.79154115e+03 1.60794684e+02 4.21313307e+01 1.05328327e+01
2.40105554e+00 9.76839675e+03 1.78026433e+02 4.68614570e+01 1.17153642e+01
