# time, D, Im, Io, Iy, Rm, Ro, Ry, Sm, So, Sy
0, 0, 10, 0, 10, 0, 0, 0, 490, 500, 990
20.202, 0, 10, 1, 13, 0, 0, 0, 490, 499, 987
40.404, 0, 11, 3, 15, 0, 0, 1, 489, 497, 984
60.606, 2, 10, 6, 22, 1, 0, 2, 488, 493, 976
80.808, 2, 9, 8, 25, 2, 0, 2, 488, 491, 973
101.01, 2, 9, 10, 27, 3, 0, 4, 487, 489, 969
121.212, 2, 11, 14, 33, 3, 0, 7, 485, 485, 960
141.414, 4, 14, 14, 33, 3, 2, 13, 481, 482, 954
161.616, 4, 13, 15, 34, 4, 2, 19, 481, 481, 947
181.818, 4, 15, 18, 42, 4, 2, 20, 479, 478, 938
202.02, 4, 14, 22, 47, 9, 3, 24, 475, 473, 929
222.222, 5, 17, 25, 51, 10, 4, 28, 471, 468, 921
242.424, 5, 17, 28, 48, 13, 7, 33, 468, 462, 919
262.626, 6, 17, 30, 52, 15, 8, 37, 466, 458, 911
282.828, 8, 17, 31, 54, 17, 10, 42, 464, 453, 904
303.03, 8, 16, 32, 58, 19, 12, 48, 463, 450, 894
323.232, 9, 16, 32, 61, 20, 15, 53, 462, 447, 885
343.434, 10, 19, 31, 62, 20, 19, 58, 459, 443, 879
363.636, 11, 21, 33, 67, 22, 21, 62, 455, 438, 870
383.838, 11, 20, 33, 75, 25, 24, 67, 453, 435, 857
404.04, 12, 21, 35, 82, 25, 26, 70, 452, 430, 847
424.242, 13, 21, 39, 92, 26, 29, 74, 450, 423, 833
444.444, 15, 20, 38, 95, 28, 33, 83, 449, 418, 821
464.646, 16, 22, 42, 97, 30, 34, 90, 445, 412, 812
484.848, 20, 25, 45, 94, 31, 35, 102, 441, 404, 803
505.051, 27, 26, 48, 97, 33, 38, 108, 436, 393, 794
525.253, 28, 25, 53, 102, 36, 40, 118, 434, 385, 779
545.455, 32, 28, 53, 98, 36, 41, 128, 430, 381, 773
565.657, 33, 33, 62, 91, 37, 42, 144, 424, 371, 763
585.859, 35, 36, 67, 91, 40, 44, 156, 418, 363, 750
606.061, 36, 39, 70, 86, 44, 50, 167, 411, 353, 744
626.263, 37, 40, 84, 96, 48, 55, 176, 405, 334, 725
646.465, 39, 38, 89, 100, 52, 56, 183, 402, 327, 714
666.667, 40, 42, 95, 96, 55, 60, 199, 395, 316, 702
686.869, 43, 42, 94, 102, 58, 67, 207, 392, 307, 688
707.071, 46, 41, 93, 104, 62, 72, 220, 388, 301, 673
727.273, 47, 39, 96, 112, 64, 73, 232, 388, 297, 652
747.475, 49, 40, 103, 116, 66, 77, 242, 384, 285, 638
767.677, 50, 45, 96, 121, 70, 89, 249, 375, 280, 625
787.879, 54, 49, 102, 130, 72, 93, 258, 367, 268, 607
808.081, 56, 51, 101, 128, 74, 103, 274, 362, 258, 593
828.283, 59, 57, 100, 130, 76, 112, 288, 354, 247, 577
848.485, 62, 59, 100, 126, 79, 118, 307, 348, 239, 562
868.687, 65, 61, 97, 130, 83, 125, 316, 342, 232, 549
888.889, 68, 60, 100, 134, 88, 131, 322, 336, 222, 539
909.091, 70, 62, 101, 133, 92, 138, 340, 330, 212, 522
929.293, 72, 62, 100, 131, 96, 144, 359, 326, 205, 505
949.495, 74, 67, 101, 132, 99, 148, 370, 318, 198, 493
969.697, 75, 63, 102, 137, 104, 153, 383, 316, 192, 475
989.899, 78, 63, 103, 137, 108, 157, 400, 312, 185, 457
1.010.101, 82, 68, 107, 144, 110, 161, 413, 303, 175, 437
1.030.303, 86, 68, 102, 141, 113, 167, 425, 300, 170, 428
1.050.505, 91, 66, 96, 136, 116, 175, 436, 297, 166, 421
1.070.707, 93, 62, 94, 136, 124, 177, 447, 292, 165, 410
1.090.909, 94, 62, 103, 137, 126, 182, 463, 289, 151, 393
1.111.111, 98, 59, 95, 131, 130, 191, 479, 287, 147, 383
1.131.313, 101, 58, 91, 128, 133, 197, 494, 285, 142, 371
1.151.515, 103, 58, 92, 127, 137, 201, 503, 280, 136, 363
1.171.717, 106, 55, 93, 124, 142, 204, 518, 277, 131, 350
1.191.919, 108, 53, 91, 113, 145, 210, 533, 276, 125, 346
1.212.121, 111, 52, 90, 109, 147, 213, 547, 275, 120, 336
1.232.323, 114, 54, 90, 105, 148, 217, 560, 272, 113, 327
1.252.525, 116, 53, 92, 106, 154, 218, 566, 267, 108, 320
1.272.727, 116, 49, 87, 106, 159, 224, 574, 266, 107, 312
1.292.929, 119, 44, 79, 102, 166, 233, 589, 264, 103, 301
1.313.131, 119, 44, 78, 102, 168, 237, 599, 262, 100, 291
1.333.333, 123, 39, 74, 86, 172, 243, 620, 261, 96, 286
1.353.535, 124, 39, 70, 79, 175, 246, 630, 258, 96, 283
1.373.737, 127, 41, 66, 75, 175, 249, 639, 255, 95, 278
1.393.939, 128, 42, 63, 71, 176, 252, 650, 253, 94, 271
1.414.141, 129, 39, 59, 68, 180, 256, 659, 252, 93, 265
1.434.343, 130, 37, 57, 65, 183, 260, 665, 251, 90, 262
1.454.545, 131, 39, 59, 59, 185, 261, 674, 247, 86, 259
1.474.747, 131, 37, 56, 59, 188, 264, 679, 246, 86, 254
1.494.949, 132, 34, 57, 56, 190, 265, 687, 246, 84, 249
1.515.152, 132, 35, 56, 54, 190, 268, 694, 245, 82, 244
1.535.354, 133, 33, 54, 50, 193, 269, 703, 244, 82, 239
1.555.556, 137, 30, 51, 48, 197, 271, 706, 241, 81, 238
1.575.758, 138, 31, 50, 45, 197, 273, 711, 240, 79, 236
1.595.96, 138, 28, 47, 46, 201, 277, 715, 239, 78, 231
1.616.162, 138, 26, 49, 43, 203, 278, 721, 239, 75, 228
1.636.364, 140, 26, 47, 38, 204, 279, 726, 238, 74, 228
1.656.566, 142, 24, 43, 36, 206, 282, 732, 238, 73, 224
1.676.768, 144, 24, 39, 35, 208, 284, 735, 236, 73, 222
1.696.97, 146, 26, 38, 32, 208, 287, 740, 234, 69, 220
1.717.172, 146, 26, 37, 28, 210, 289, 744, 232, 68, 220
1.737.374, 147, 23, 34, 28, 213, 292, 746, 231, 68, 218
1.757.576, 149, 24, 34, 29, 213, 292, 750, 230, 66, 213
1.777.778, 149, 23, 34, 27, 217, 292, 753, 227, 66, 212
1.797.98, 151, 19, 34, 27, 220, 293, 756, 227, 64, 209
1.818.182, 152, 18, 32, 24, 222, 294, 760, 226, 64, 208
1.838.384, 152, 19, 32, 22, 222, 295, 763, 225, 63, 207
1.858.586, 153, 20, 31, 19, 222, 298, 766, 223, 61, 207
1.878.788, 155, 20, 30, 20, 223, 299, 768, 221, 60, 204
1.898.99, 155, 20, 32, 22, 223, 299, 768, 221, 58, 202
1.919.192, 156, 19, 30, 20, 225, 301, 770, 219, 58, 202
1.939.394, 157, 18, 32, 21, 226, 302, 772, 219, 54, 199
1.959.596, 160, 16, 28, 21, 228, 303, 773, 219, 54, 198
1.979.798, 161, 18, 27, 19, 228, 303, 776, 217, 54, 197
2.000, 161, 16, 26, 20, 230, 304, 777, 217, 54, 195

