# time, D, I, R, S
0, 0, 5, 0, 10.000
20.202, 1.893, 17, 7.989, 106
40.404, 1.898, 0, 8.002, 105
60.606, 1.898, 0, 8.002, 105
80.808, 1.898, 0, 8.002, 105
101.01, 1.898, 0, 8.002, 105
121.212, 1.898, 0, 8.002, 105
141.414, 1.898, 0, 8.002, 105
161.616, 1.898, 0, 8.002, 105
181.818, 1.898, 0, 8.002, 105
202.02, 1.898, 0, 8.002, 105
222.222, 1.898, 0, 8.002, 105
242.424, 1.898, 0, 8.002, 105
262.626, 1.898, 0, 8.002, 105
282.828, 1.898, 0, 8.002, 105
303.03, 1.898, 0, 8.002, 105
323.232, 1.898, 0, 8.002, 105
343.434, 1.898, 0, 8.002, 105
363.636, 1.898, 0, 8.002, 105
383.838, 1.898, 0, 8.002, 105
404.04, 1.898, 0, 8.002, 105
424.242, 1.898, 0, 8.002, 105
444.444, 1.898, 0, 8.002, 105
464.646, 1.898, 0, 8.002, 105
484.848, 1.898, 0, 8.002, 105
505.051, 1.898, 0, 8.002, 105
525.253, 1.898, 0, 8.002, 105
545.455, 1.898, 0, 8.002, 105
565.657, 1.898, 0, 8.002, 105
585.859, 1.898, 0, 8.002, 105
606.061, 1.898, 0, 8.002, 105
626.263, 1.898, 0, 8.002, 105
646.465, 1.898, 0, 8.002, 105
666.667, 1.898, 0, 8.002, 105
686.869, 1.898, 0, 8.002, 105
707.071, 1.898, 0, 8.002, 105
727.273, 1.898, 0, 8.002, 105
747.475, 1.898, 0, 8.002, 105
767.677, 1.898, 0, 8.002, 105
787.879, 1.898, 0, 8.002, 105
808.081, 1.898, 0, 8.002, 105
828.283, 1.898, 0, 8.002, 105
848.485, 1.898, 0, 8.002, 105
868.687, 1.898, 0, 8.002, 105
888.889, 1.898, 0, 8.002, 105
909.091, 1.898, 0, 8.002, 105
929.293, 1.898, 0, 8.002, 105
949.495, 1.898, 0, 8.002, 105
969.697, 1.898, 0, 8.002, 105
989.899, 1.898, 0, 8.002, 105
1.010.101, 1.898, 0, 8.002, 105
1.030.303, 1.898, 0, 8.002, 105
1.050.505, 1.898, 0, 8.002, 105
1.070.707, 1.898, 0, 8.002, 105
1.090.909, 1.898, 0, 8.002, 105
1.111.111, 1.898, 0, 8.002, 105
1.131.313, 1.898, 0, 8.002, 105
1.151.515, 1.898, 0, 8.002, 105
1.171.717, 1.898, 0, 8.002, 105
1.191.919, 1.898, 0, 8.002, 105
1.212.121, 1.898, 0, 8.002, 105
1.232.323, 1.898, 0, 8.002, 105
1.252.525, 1.898, 0, 8.002, 105
1.272.727, 1.898, 0, 8.002, 105
1.292.929, 1.898, 0, 8.002, 105
1.313.131, 1.898, 0, 8.002, 105
1.333.333, 1.898, 0, 8.002, 105
1.353.535, 1.898, 0, 8.002, 105
1.373.737, 1.898, 0, 8.002, 105
1.393.939, 1.898, 0, 8.002, 105
1.414.141, 1.898, 0, 8.002, 105
1.434.343, 1.898, 0, 8.002, 105
1.454.545, 1.898, 0, 8.002, 105
1.474.747, 1.898, 0, 8.002, 105
1.494.949, 1.898, 0, 8.002, 105
1.515.152, 1.898, 0, 8.002, 105
1.535.354, 1.898, 0, 8.002, 105
1.555.556, 1.898, 0, 8.002, 105
1.575.758, 1.898, 0, 8.002, 105
1.595.96, 1.898, 0, 8.002, 105
1.616.162, 1.898, 0, 8.002, 105
1.636.364, 1.898, 0, 8.002, 105
1.656.566, 1.898, 0, 8.002, 105
1.676.768, 1.898, 0, 8.002, 105
1.696.97, 1.898, 0, 8.002, 105
1.717.172, 1.898, 0, 8.002, 105
1.737.374, 1.898, 0, 8.002, 105
1.757.576, 1.898, 0, 8.002, 105
1.777.778, 1.898, 0, 8.002, 105
1.797.98, 1.898, 0, 8.002, 105
1.818.182, 1.898, 0, 8.002, 105
1.838.384, 1.898, 0, 8.002, 105
1.858.586, 1.898, 0, 8.002, 105
1.878.788, 1.898, 0, 8.002, 105
1.898.99, 1.898, 0, 8.002, 105
1.919.192, 1.898, 0, 8.002, 105
1.939.394, 1.898, 0, 8.002, 105
1.959.596, 1.898, 0, 8.002, 105
1.979.798, 1.898, 0, 8.002, 105
2.000, 1.898, 0, 8.002, 105

