"Row","Date","Rt_medio"
"217",2020-09-07,1.04778730648112
"218",2020-09-08,1.02407650520461
"219",2020-09-09,1.02476501032861
"220",2020-09-10,1.05322197859412
"221",2020-09-11,1.04035265038695
"222",2020-09-12,1.04668056686683
"223",2020-09-13,1.05012943013576
"224",2020-09-14,1.05041724423919
"225",2020-09-15,1.08278389336207
"226",2020-09-16,1.09762351205684
"227",2020-09-17,1.09876265705024
"228",2020-09-18,1.118267889416
"229",2020-09-19,1.13383440634734
"230",2020-09-20,1.15198853328551
"231",2020-09-21,1.13895105171175
"232",2020-09-22,1.1193297547005
"233",2020-09-23,1.10431584771815
"234",2020-09-24,1.07994691262747
"235",2020-09-25,1.08330663278998
"236",2020-09-26,1.07927110186784
"237",2020-09-27,1.08832751746945
"238",2020-09-28,1.13542070103022
"239",2020-09-29,1.16655022525982
"240",2020-09-30,1.26105772862062
"241",2020-10-01,1.43266637202487
"242",2020-10-02,1.53420736409155
"243",2020-10-03,1.62840009573021
"244",2020-10-04,1.67428617708118
"245",2020-10-05,1.75625028271982
"246",2020-10-06,1.78413545710796
"247",2020-10-07,1.79637836076559
"248",2020-10-08,1.7592281557506
"249",2020-10-09,1.74951176315179
"250",2020-10-10,1.75314816153669
"251",2020-10-11,1.70150084765039
"252",2020-10-12,1.72027150841205
"253",2020-10-13,1.71791479204635
"254",2020-10-14,1.70068547382058
"255",2020-10-15,1.69678401672411
"256",2020-10-16,1.69773222635533
"257",2020-10-17,1.66372396445436
"258",2020-10-18,1.65399838567026
"259",2020-10-19,1.65185001668118
"260",2020-10-20,1.67437788196479
"261",2020-10-21,1.64916521577603
"262",2020-10-22,1.60532702411046
"263",2020-10-23,1.56751727056358
"264",2020-10-24,1.52376967262793
"265",2020-10-25,1.48794900388184
"266",2020-10-26,1.4655154764478
"267",2020-10-27,1.40548230826348
"268",2020-10-28,1.38025685418403
"269",2020-10-29,1.34303644176275
"270",2020-10-30,1.30889428955608
"271",2020-10-31,1.25603850309901
"272",2020-11-01,1.24421806377946
"273",2020-11-02,1.22467211162567
"274",2020-11-03,1.19689129227545
"275",2020-11-04,1.16981733839747
"276",2020-11-05,1.153781941465
"277",2020-11-06,1.13839497960259
"278",2020-11-07,1.13309191998085
"279",2020-11-08,1.08884299567779
"280",2020-11-09,1.0629693819993
"281",2020-11-10,1.05882124265113
"282",2020-11-11,1.03116066547996
"283",2020-11-12,1.00824898903399
"284",2020-11-13,0.988890749961154
"285",2020-11-14,0.975372368470799
"286",2020-11-15,0.966348960369207
"287",2020-11-16,0.943100200367095
"288",2020-11-17,0.90591186076199
"289",2020-11-18,0.895337382520183
"290",2020-11-19,0.868086330739787
"291",2020-11-20,0.852773318284245
"292",2020-11-21,0.825472234310485
"293",2020-11-22,0.799433705529433
"294",2020-11-23,0.781242545815541
"295",2020-11-24,0.774612894573441
"296",2020-11-25,0.76663632439947
"297",2020-11-26,0.774904399390893
"298",2020-11-27,0.768346792752099
"299",2020-11-28,0.788023159395382
"300",2020-11-29,0.795346817420677
"301",2020-11-30,0.809240331474043
"302",2020-12-01,0.849099805687973
"303",2020-12-02,0.86592640541601
"304",2020-12-03,0.881860599197196
"305",2020-12-04,0.896984349704759
"306",2020-12-05,0.903079998787977
"307",2020-12-06,0.917266835014019
"308",2020-12-07,0.914709040465535
"309",2020-12-08,0.884916074102465
"310",2020-12-09,0.891739586586198
"311",2020-12-10,0.91000815291226
"312",2020-12-11,0.9081575553007
"313",2020-12-12,0.920951953783386
"314",2020-12-13,0.937103859824466
"315",2020-12-14,0.956340909992024
"316",2020-12-15,0.978504290337337
"317",2020-12-16,0.976965504517524
"318",2020-12-17,0.964112516926916
"319",2020-12-18,0.972396325735124
"320",2020-12-19,0.971582333783397
"321",2020-12-20,0.997994262179985
"322",2020-12-21,0.995812370047744
"323",2020-12-22,1.00524197062368
"324",2020-12-23,1.02088511573041
"325",2020-12-24,1.04744116613338
"326",2020-12-25,1.04383931878119
"327",2020-12-26,1.06439670577919
"328",2020-12-27,1.08218148603009
"329",2020-12-28,1.12062881179416
"330",2020-12-29,1.12385112500085
"331",2020-12-30,1.12015614440549
"332",2020-12-31,1.10384361197871
"333",2021-01-01,1.11572180223575
"334",2021-01-02,1.10717333264417
"335",2021-01-03,1.08191272243987
"336",2021-01-04,1.05846380349547
"337",2021-01-05,1.0469018792809
"338",2021-01-06,1.0125769497303
"339",2021-01-07,0.99380117168984
"340",2021-01-08,0.963480607743024
"341",2021-01-09,0.92983586166834
"342",2021-01-10,0.902736153246473
"343",2021-01-11,0.858921955925128
"344",2021-01-12,0.825256100867597
"345",2021-01-13,0.815216028935947
"346",2021-01-14,0.800907921690022
"347",2021-01-15,0.798167196418866
"348",2021-01-16,0.80127440767555
"349",2021-01-17,0.80146433232128
"350",2021-01-18,0.813692678239386
"351",2021-01-19,0.83138148747838
"352",2021-01-20,0.86544278119097
"353",2021-01-21,0.883983186974191
"354",2021-01-22,0.90421462581908
"355",2021-01-23,0.931469147586848
"356",2021-01-24,0.954026773105097
"357",2021-01-25,0.96877683635067
"358",2021-01-26,0.973275033138253
"359",2021-01-27,0.965476620828484
"360",2021-01-28,0.972676338993738
"361",2021-01-29,0.96615630556072
"362",2021-01-30,0.958020879984805
"363",2021-01-31,0.952640833176388
"364",2021-02-01,0.978304428269593
"365",2021-02-02,0.993896966026029
"366",2021-02-03,1.00738588631493
"367",2021-02-04,1.0147631458694
"368",2021-02-05,1.02993119632406
"369",2021-02-06,1.0457576416835
"370",2021-02-07,1.05619426404178
