"Row","Date","R_medio","R_Quantile0.025","R_Quantile0.975"
"1",2020-02-04,3.01198458933535,2.59995746391547,3.45387280527751
"2",2020-02-05,2.44803121621171,2.12206228982965,2.79694898619399
"3",2020-02-06,1.97017079608941,1.7065706387388,2.25242476365284
"4",2020-02-07,1.61392523895326,1.39370125052176,1.85006652458652
"5",2020-02-08,1.24378552776463,1.06177102524519,1.43998730461309
"6",2020-02-09,1.02390983307129,0.865082276600456,1.19592546727337
"7",2020-02-10,1.19809136441846,1.02900037559907,1.37985630897528
"8",2020-02-11,1.16719541807983,1.00334262300108,1.34325895963402
"9",2020-02-12,1.26999314894038,1.10128854793882,1.45054455736678
"10",2020-02-13,1.35398511035389,1.18246586069005,1.53695095543505
"11",2020-02-14,1.55358030283107,1.37312964121277,1.74500919470852
"12",2020-02-15,2.14209448636287,1.93526407737682,2.35927448014006
"13",2020-02-16,2.22576029605255,2.02548905499947,2.43533749977753
"14",2020-02-17,2.30420433152693,2.11288958516475,2.50369188635926
"15",2020-02-18,2.47241191303862,2.28763501822271,2.66426281915278
"16",2020-02-19,2.37549641856611,2.20817811113964,2.54883813095543
"17",2020-02-20,2.94677419418318,2.77425571738971,3.12442293079006
"18",2020-02-21,2.94668601259191,2.79008208773078,3.10750566361293
"19",2020-02-22,2.82871520766305,2.69024543702455,2.97061094087207
"20",2020-02-23,2.87659304658236,2.75035197717505,3.0056270151554
"21",2020-02-24,2.90803044188831,2.79345174650485,3.02487976211991
"22",2020-02-25,2.95953398595073,2.85535634849614,3.06555211266488
"23",2020-02-26,2.82335349608035,2.73185809004585,2.91633492275219
"24",2020-02-27,2.56625925851819,2.4875650869364,2.64616178036483
"25",2020-02-28,2.56607904814472,2.49443647802125,2.63872179660404
"26",2020-02-29,2.41060218496447,2.34722465810987,2.47481222923609
"27",2020-03-01,2.69583846576239,2.63428029715364,2.75809771787582
"28",2020-03-02,2.60331004883764,2.54815733925925,2.65904504955616
"29",2020-03-03,2.49012239300074,2.44090230719005,2.53982697127814
"30",2020-03-04,2.31751642479307,2.27403224698672,2.36140671321842
"31",2020-03-05,2.25421875692185,2.21468296852798,2.29409946898669
"32",2020-03-06,2.1684810743464,2.13258623343487,2.20467133023168
"33",2020-03-07,2.12156958463006,2.08856402229846,2.15483031416122
"34",2020-03-08,1.97367285503589,1.94399224133947,2.00357521986821
"35",2020-03-09,1.95957493673608,1.93183413275325,1.98751076122451
"36",2020-03-10,2.04460965258783,2.01795882376402,2.07143289521557
"37",2020-03-11,1.96069957643115,1.93619963623817,1.9853514185429
"38",2020-03-12,1.86840548895117,1.84590431139687,1.89104109325315
"39",2020-03-13,1.79838923617895,1.77754052033551,1.8193578257226
"40",2020-03-14,1.68638248885949,1.66724479178483,1.70562788683843
"41",2020-03-15,1.62540506277767,1.60750128270374,1.64340662326183
"42",2020-03-16,1.52327107531178,1.50668782728161,1.53994383059797
"43",2020-03-17,1.3464392437343,1.33144569255228,1.36151558386156
"44",2020-03-18,1.28406287534323,1.26986377311794,1.29833982938833
"45",2020-03-19,1.20100618012118,1.18761456134926,1.21447184021655
"46",2020-03-20,1.17911451476575,1.16610227275447,1.19219795624277
"47",2020-03-21,1.11376686147086,1.1013247497284,1.1262778942299
"48",2020-03-22,1.02144396053252,1.00967522768485,1.0332799412329
"49",2020-03-23,0.975166213092486,0.963748592407427,0.986650138814319
"50",2020-03-24,0.93497838087777,0.923831423026502,0.946191260875357
"51",2020-03-25,0.903016686459385,0.892055199462638,0.914044183530732
"52",2020-03-26,0.876033210834983,0.865197707572853,0.886935209933051
"53",2020-03-27,0.801597256078508,0.79116926378471,0.812092577133668
"54",2020-03-28,0.794088384607494,0.783601639807298,0.80464386958747
"55",2020-03-29,0.766876950074152,0.756440252755744,0.777384163117331
"56",2020-03-30,0.761897517426252,0.751337051128879,0.772530662831383
"57",2020-03-31,0.75235618025727,0.741687530749916,0.763099958248264
"58",2020-04-01,0.785661734228835,0.774563856419625,0.796837458990967
"59",2020-04-02,0.787581630358892,0.776278478582746,0.798965347785809
"60",2020-04-03,0.781421821218502,0.76997239880201,0.792954572049748
"61",2020-04-04,0.773630671634763,0.762044773659718,0.785302769652907
"62",2020-04-05,0.78381386181876,0.771949290459125,0.795767662552912
"63",2020-04-06,0.755866045177424,0.744016271864359,0.76780814132601
"64",2020-04-07,0.767022439936453,0.754869069065026,0.779271520460523
"65",2020-04-08,0.712788317224495,0.700861577279461,0.724814287857117
"66",2020-04-09,0.713518967076717,0.701343339977599,0.725797920813386
"67",2020-04-10,0.74117589517182,0.72849982755636,0.753959780795605
"68",2020-04-11,0.736197955400109,0.72330008669045,0.749208226466033
"69",2020-04-12,0.749658130581189,0.736369445458257,0.763064002812483
"70",2020-04-13,0.740563872468969,0.727086361689919,0.754163433511011
"71",2020-04-14,0.75433321742112,0.74045096616555,0.768342608876705
"72",2020-04-15,0.781209586742853,0.766798216951719,0.795753262336491
"73",2020-04-16,0.792217430899076,0.777432940604452,0.807139246620491
"74",2020-04-17,0.759377901824722,0.744649727932437,0.774248302709145
"75",2020-04-18,0.776856232211509,0.761686472876636,0.792173490065323
"76",2020-04-19,0.762883288480549,0.747582717330621,0.778336701863131
"77",2020-04-20,0.817428331588948,0.801298935923636,0.833716217315629
"78",2020-04-21,0.796150133811287,0.779974184217871,0.812489798136434
"79",2020-04-22,0.759187856644423,0.743138833617222,0.77540595113465
"80",2020-04-23,0.74545677442818,0.7292772107398,0.761811385911895
"81",2020-04-24,0.723521223057329,0.707286616173229,0.739937481027733
