"n"
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
2990
5097
1792
4606
19965
14165
33340
30782
64752
76529
64860
89314
94053
86589
57348
81895
82137
91179
95388
90218
63658
32868
40288
32702
28192
19910
15518
6778
2605
6055
6211
9606
8144
6830
4516
2260
5402
5491
8192
12324
15475
11952
8217
24527
30821
42212
47316
52582
39247
20438
47444
49468
55042
59872
61178
48540
33405
70577
72695
81382
79723
78948
62255
45297
66097
71628
86368
84571
78435
67377
40883
66271
76411
91057
90555
79332
60941
20409
38013
76339
90097
89280
82238
68839
41373
62552
67621
80084
99107
99827
84309
54362
87964
97917
119258
135999
130741
114673
47173
82153
111663
139963
174953
190248
149350
117691
122138
137793
146306
173953
189897
187110
127233
148545
156113
160057
184204
203686
182105
137169
194824
188338
181418
243096
243855
200543
156480
190008
210073
239764
281565
271044
204924
146487
152828
134218
71288
131552
125934
118114
81640
114045
119815
121892
128644
133572
102268
76931
199460
213007
236548
285111
291156
262602
211856
274683
282227
288371
317279
333934
287585
217980
293309
316637
327416
347718
354892
360654
274317
371344
373869
401358
470283
489363
467706
352293
476739
483200
469808
512098
499589
456551
358427
452483
446949
449227
461265
426445
374950
280509
417844
426284
375182
356606
324964
274690
182747
321156
311057
297901
279718
245534
188112
146486
220235
191189
179660
153391
136829
61663
24470
104933
118090
116460
113621
113620
76389
63566
161165
142744
163188
159131
173645
131027
92972
193190
179853
178704
177013
179286
121162
82117
182164
185540
177405
191301
188051
132946
84360
182986
168813
154889
152751
142193
119483
76035
172117
158665
151072
129746
132002
111718
67002
127941
109997
105277
101820
88936
73052
44867
83258
75200
66784
65929
74462
70607
43090
82254
79023
82899
85287
87249
77295
48533
85729
74170
71090
74320
69479
57584
31817
61618
55458
55519
58691
59193
48277
24048
18325
60776
58551
57117
60955
44545
21432
49517
43737
40996
43275
44859
31698
13886
35397
29127
27133
29009
27449
19762
10050
20538
22311
26446
21672
22837
19565
9009
20219
20930
19322
21265
22483
19747
10072
22281
20667
7997
27919
24533
20390
10284
22693
21769
22031
23846
25904
23261
12349
27027
26902
25931
24785
11768
1963
7477
42232
37231
29194
27036
11899
2979
18757
41392
39365
33960
19534
56723
53636
37345
55116
55177
52082
52697
40674
32148
26465
50275
53893
52928
50282
37886
26232
32169
53008
58477
55479
45799
55529
64518
48012
57577
62926
60783
57848
70125
81019
53809
63332
65046
57057
56911
60600
70143
40487
45535
47094
44553
41887
45406
51254
30833
37059
36332
32609
31803
33973
38192
22124
27748
22058
21414
21960
22556
23081
9215
15455
14999
13432
13580
15029
14885
5360
10169
10160
9176
9383
9858
8690
2488
7318
8210
6979
7964
7820
7643
2321
5896
5554
5304
5609
4128
4141
940
3487
3564
3859
3744
4356
3982
757
3502
3127
3266
3327
