0.00000000e+00 4.50000000e+02
1.81377714e-04 4.49997143e+02
3.62755428e-04 4.49994285e+02
8.71003693e-04 4.49986275e+02
1.37925196e-03 4.49978262e+02
6.46173461e-03 4.49897910e+02
2.47864127e-02 4.49604949e+02
4.31110907e-02 4.49306898e+02
8.32783839e-02 4.48635822e+02
1.23445677e-01 4.47940452e+02
1.84606623e-01 4.46835250e+02
2.45767568e-01 4.45674421e+02
3.63710331e-01 4.43280490e+02
4.81653094e-01 4.40684810e+02
5.99595857e-01 4.37891083e+02
7.17538620e-01 4.34903275e+02
8.35481383e-01 4.31725609e+02
9.53424146e-01 4.28362554e+02
1.07136691e+00 4.24818816e+02
1.18930967e+00 4.21099325e+02
1.30725243e+00 4.17209225e+02
1.43956029e+00 4.12648906e+02
1.57186815e+00 4.07888448e+02
1.77724286e+00 4.00121685e+02
1.98261757e+00 3.91923804e+02
2.18799229e+00 3.83327577e+02
2.39336700e+00 3.74366825e+02
2.59874171e+00 3.65076198e+02
2.80411643e+00 3.55490951e+02
3.14553685e+00 3.39000557e+02
3.39381081e+00 3.26653522e+02
3.64208477e+00 3.14077867e+02
3.89035873e+00 3.01335552e+02
4.13863269e+00 2.88487146e+02
4.38690665e+00 2.75591371e+02
4.63518061e+00 2.62704685e+02
4.88345457e+00 2.49880907e+02
5.13172854e+00 2.37170890e+02
5.38000250e+00 2.24622237e+02
5.62827646e+00 2.12279065e+02
5.87655042e+00 2.00181821e+02
6.13916309e+00 1.87694144e+02
6.40177575e+00 1.75561188e+02
6.66438842e+00 1.63816637e+02
6.92700109e+00 1.52489242e+02
7.18961376e+00 1.41602887e+02
7.45222643e+00 1.31176704e+02
7.71483910e+00 1.21225233e+02
7.97745177e+00 1.11758623e+02
8.24006444e+00 1.02782876e+02
8.50267710e+00 9.43001080e+01
8.76528977e+00 8.63088481e+01
9.02790244e+00 7.88043433e+01
9.29051511e+00 7.17788827e+01
9.55312778e+00 6.52221240e+01
9.81574045e+00 5.91214239e+01
1.00000000e+01 5.51053927e+01
