beta
35364295.676256135
35364048.6794129
35363801.68256967
35363554.68572643
35363307.688883185
35363060.69203995
35362813.69519672
35362566.69835348
35362319.70151024
35362072.704667
35361825.70782377
35361578.710980535
35361331.71413729
35361084.71729406
35360837.720450826
35359532.56544792
33943613.45127324
34517658.8804857
34894177.40886454
35511161.59118403
33875858.76096172
30789683.446556337
30785641.742887024
28917825.89418571
32335461.760456935
31220566.73790632
29857487.40767924
27781323.31420676
27014831.581653878
25978363.204936408
25406440.04787978
23625188.912091948
23443520.926930457
24444488.350973472
23423934.412128348
22303390.42929259
21449595.394275542
20096651.59226507
19353951.448312894
18124956.49532959
16011789.729408644
15263049.15031943
14270636.405371618
14006187.96064516
13227772.704503413
12131055.818763316
11582067.96611291
11106254.178513208
10728616.382042853
10411028.171821384
9529537.964434296
9443511.796855828
9123290.468673576
9067253.124287551
8956610.74008345
9355832.776778497
9381158.9280811
9310282.453718426
9219771.648103433
9343427.105284283
9012557.9272272
9148001.25361709
8503552.094871903
8514358.70868373
8846316.686690986
8788780.38361274
8951195.136209104
8844185.777098969
9010039.24199737
9332316.148112714
9465119.322004007
9074028.445729801
9284131.657895666
9118231.331853028
9771141.831166815
9517812.093879439
9077008.346050745
8913866.767702872
8652683.083011284
8520674.90056794
8493181.777307332
7956628.871326698
7866449.881263442
7676926.352902295
7513262.013496835
7501096.531775724
7398496.045338562
7386240.520650526
6958409.987558665
7027405.831725104
6993687.748703193
7002550.471595425
7130475.564881703
7117266.562563089
7442679.2985370755
7553811.785301899
7583107.829210445
7710735.484378749
7755606.597464196
7701418.45604051
8031826.430679998
7999314.715157517
8111610.4953492135
7964945.213877625
8092371.761144597
8088704.429046753
7783435.789647901
7790267.376014426
7780010.852295174
7781480.8290525535
7816898.536767358
7753655.327957694
7843983.613537038
7939260.891415601
8127033.771691505
8314795.142719703
8226949.587824951
7704137.527828982
7592542.107338096
7644774.832889592
8092947.2271108525
8267608.811783787
8718432.323378794
8833066.166524276
9823956.567709006
9870577.26893697
10028995.279428877
10071027.33608692
10132762.221277293
10419572.91746506
10316456.870908106
10311019.77843538
10122646.595453186
10159851.640076814
9805334.24538328
9872794.876421945
9834464.677640649
9552685.960267467
9292986.42966034
9686307.216485713
9678223.406785173
10145186.916782351
